var;was
kom;came
hadde;had
fortsatt;still
i løpet av;in the course of, during
iblant;occasionally
lenger;anymore, any longer
i mellomtiden;in the meantime
siden;since
for ... siden;ago
inntil;until, up to
lenge;long
første;(the) first
neste;(the) next
siste;(the) last
klar;ready
rask;swift, quick
langsom;slow
et år;a year
et døgn;a day, a 24h period of time
et øyeblikk;a moment
en fest;a party
fortid (m/f);past
nåtid (m/f);present
fremtid (m/f);future
en alder;an age
en bursdag;a birthday
i dag;today
i kveld;tonight
i morgen;tomorrow
i morgen tidlig;tomorrow morning
i går;yesterday
i år;this year
i fjor;last year
