studerer;study
tid (m/f);time
overtid (m/f);overtime
en lege;a doctor, a physician
en jobb;a job
et kontor;an office
en student;a student (uni level)
en forfatter;an author
et møte;a meeting
en konferanse;a conference
en sjef;a boss
fritid (m/f);free time, leisure
et arbeid;a work, a job
en elektriker;an electrician
en rørlegger;a plumber
en brannmann;a fireman, a firefighter
en prest;a priest
en ingeniør;an engineer
en bussjåfør;a bus driver
en telefonselger;a telemarketer, a telephone salesman
